,class,tweet
103,offensive language,comedyposts harlem shake is just an excuse to go full retard for 30 seconds
104,offensive language,comedytruth amen miley 128591 httptcop2kb2tfyxrokay but she dont need to act like a hoe just bc shes emotionally damaged foh
105,offensive language,corybandz having one loyal female is wayyyyy better than having hoes  idc 128175
106,offensive language,"crhedrys pussy licking pussy meow meow stopwhitepeople2014 128049 httpstcokeegdcjs5k8221

128533"
107,offensive language,dbab_holloway check out our 12th man cowboysnation even with all those faggot ny fans in the stands
108,offensive language,dgotbricks what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
109,offensive language,daedavidavie white_thunduh im the bitch okay nudes pat 128554128527128056 wow
110,hate speech,devilgrimz vigxras youre fucking gay blacklisted hoe holding out for tehgodclan anyway httptcoxuccwoetmn
111,offensive language,diamondloudkush the fuck be wrong with these bitches nobody knows
112,offensive language,dietrich1892 yall shut upp make me bitch
113,offensive language,dionairish i hate a im pregnant type of bitch
114,offensive language,doyou_q got bitches in the dm but i dont ever readem which is y your top 3
115,other,domworldpeace baseball season for the win yankees this is where the love staed
116,offensive language,dommoneek little stupid as bitch i dont fuck with yoooooouuuu
117,offensive language,dreadheadari she really asked me that dead ass serious tho all i could say was bitch wheet lol
118,other,dunderbail im an early bird and im a night owl so im wise and have worms
119,other,edgarpixar overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day
120,other,"el_grillo1 pit bulls photographed as lovely fairy tale creatures httptcoq0sm89oolh8221

they are fairy tale creatures"
121,offensive language,ferocious_ghost 1stname_bravo aw fag dont tweet aw to me lol
122,other,flokid88 as long as the lakers trash from now on i could careless and thats real cc benballer hahaha
123,offensive language,frosstyy_ h0rheyd i didnt say anything tho kiss me then faggot
124,other,funnypicsdepot this the i play soccer cheat on girls and wear khaki coloured cargos haircut httptcozuai7qwbir 128514 yup
125,offensive language,g27status i could go for a fat ass bitch on my lap same
126,offensive language,gedmelle 17 missed calls 128544128545das yo po bitch twitter finna be screamn freemoneymelle
127,offensive language,gtm_al ya side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao 128514128514128514128514
128,offensive language,gagatom1 8220malefoot 3  amo los pies httptco4qe1hdkk8i8221 fuck yeah
129,offensive language,girlthatsvonte these hoes be thinking meat wont slap they ass 128564128075 ainna bruh
130,offensive language,girlthatsvonte yall bitches wit no edges be doing the most talking 1285531285649995128514128514128514
131,offensive language,girlthatsvonte yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit
132,offensive language,girllssues i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck
133,offensive language,gizzy_jones94 if she kiss u with her eyes open watch that bitchlmfao
134,offensive language,goofstroop you a woulda coulda shoulda ass hoe 128563128586
135,offensive language,gotti_ltf happy bday bitch ass nigga jetsandaswisherpreciate that bitch roll up
136,offensive language,hbmostdope 1jayee pipinhoes used to send that bitch up
137,offensive language,hbmostdope ugly bitches be like im my own wcw duh bitch you aint nobody elses128514128514
138,offensive language,halotgmg 1stname_bravo nigga you know we hacky sack hoes nah i throw no look passes lmao
139,offensive language,healessfuck glad im getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em
140,other,hermosaalma this isnt ghettoits sma httpstcompazq3jswf im doing this idc
141,offensive language,hiimjorib i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place
142,offensive language,hornyfacts being single isnt an excuse to be a hoe theonemiss_luu
143,offensive language,hoskinsty96 white boy power bitch black power bitch
144,offensive language,hudgens_11 lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes have no chill
145,offensive language,iscoutgirls verbally_abrupt bitch where u been around the world and back where you been
146,offensive language,itsyahboiray anelylove if i dont get my dick sucked at yo pay by a bad bitch im fr gone set it off 128514128514128514128514 by anelylove 
147,offensive language,itsyesie oomf is soooo cute but he probably has hoes on him a lot
148,offensive language,jayten9 in every caoon theirs alway a _nuffsaid15 saving these hoes lmao httptco9ukd8wtz6x lmao damn captain saveahoe
149,other,jreebo who wants to get there nose in these bad bois then scally chav sockfetish stinking httptcofeqxgn0w6i hot sox and legs
150,offensive language,jamesynba i wish i was a bitch like my brother keezy 128530 ooooow i bet you do
151,offensive language,jasminepore if you dressed up as a cat for halloween you are basic or a pussy
152,offensive language,jewelxo can pornhub just get a gaming stream feature so these dumb bitches can gtfo pornhub get on it katielt3
153,offensive language,joebudden stop being scared to choke her during sex u bitch ass niggas she8217ll like it says the guy who hits women out of bed foh
154,offensive language,johnny55perez white_thunduh ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig
155,offensive language,kazatta 1takehov oh man its 5 am you off a molly ho where the fuck ya seed at fixed
156,offensive language,kelsiebelsi youre not a man if you refer to every girl as a bitch
157,offensive language,keyshawnswag lmfao this cat staed beating the shit out of me my nigga finally got some pussy my nigga
158,other,keyshawnswag peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash
159,offensive language,kingcuh 16stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
160,offensive language,kinghendo95 vondreaam naw its my old tape new cover  my upcoming mixtape is kingofthehill yeah im waiting on that hoe mayne
161,offensive language,kingteej_ ol diy foot ass bitches this was too funny to me
162,offensive language,king_shawn_6 white_thunduh thats where i get my yellow flags for being amazing 128079128524 hell yeah niggy
163,offensive language,kissmysmilee dont got time for bitches to be actin iffy
164,other,knightfanneal ucfpinkpay come on stay alive knights nation this is still the early bird special comeatmeut
165,offensive language,"kyranadiya_ these hoes aint loyal  no they aint httptcoh1ubsvbkgl

smfh amp wonder why nobody decent wants them"
166,offensive language,lcistj bruh you studs keep thinking im soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe
167,offensive language,lodycash dry pussy bitches always blame it on the condom128514128079128514128079128514
168,offensive language,lunaraps shut yo bitch ass up httpstcoiemn1u0gm5 128557128514
169,offensive language,laflaregodjosh gucci mane in jail and dropping mixtapes every month and you hoes cant even text back
170,offensive language,latrobemark you love these hoes more then money wats wrong these niggas
171,offensive language,lebronvuitton a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol
172,offensive language,lilfridayhoe easy cum easy hoe thats a fact 
173,offensive language,lifeasbros charlie sheen is too real httptcogggdk3kov7 major fucking respect for charlie sheen
174,offensive language,"lightskingawdd wish i had a bae 128533

you got all the hoes tho"
175,offensive language,lil_mike_12 fuck twerking bitch can you cook 
176,offensive language,linniekravitz wesgodlaflare bitch wtf httptcodasmycxodb
177,offensive language,lipe_the_great 8220h0rheyd lipe_the_great shut up zoe fight me pussy8221 for zoe im good man you are good maam move along now
178,offensive language,lolaaisdope lmao fucking snake bitches  em
179,offensive language,loveable_aizah big booty hoes everywhere sheesh 128525 damn 127807128064127807
180,other,mlbnetwork stay tuned to mlbnetwork for an update on the repo that yankees 1b teixeiramark25 will be out 810 weeks dliming35 bum
181,other,m_rad 8220dezdlt i play soccer cheat on girls and wear khaki coloured cargos haircut httptcotycihd6pkw8221 yes lmfaosoccerboy_04
182,offensive language,madflyentist oregon chokes every year get off the field trash ass program rft
183,offensive language,mannydiesel def not cowboy lol  aoffloyd terrell owens was the best eagle amp cowboy ever dude cried like a bitch on tv over romo
184,hate speech,markroundtreejr lmfaoooo i hate black people httpstcornvd2nlcdr this is why theres black people and niggers
185,offensive language,master11_ 20tolife_ gabrielastarr how could u do this to me bitch potent
186,other,maxmayo77 httptco3jk4kr44x3 a pissed lad past out i would lick his diy soles while he slept
187,other,maxmayo77 httptcoprrskknqrv love frat boy w soft long soles
188,other,maxmayo77 httptcoxpsc3makgj sexy lad with hot soles and arches
189,offensive language,megamindnick white_thunduh nah fam i gotta cheat with the hoes depends on the female i feel
190,other,mesha_nojas _vontethekidd 128079128079128079128079128588 i got hicks lol
191,offensive language,migsmichelen this new twitter is confusing the shit out of me go back to south america bitch
192,offensive language,miikito_x3 toto means ass or vaginai think pussy cause toto santi is like nasty pussy
193,offensive language,mikelahenry but what if he actually does choose the ugly bitch over you 58381her ass must be fat
194,offensive language,mileycyrus bitch couldnt kill my vibe if ya tried 127752127752127752 dis why i love miley 
195,offensive language,montrell_ im tired of bitches saying i look mean 128530 nigga you big af wear tight shis and grim everybody
196,other,motherjones 10 birds your grandkids may never see thanks to climate change httptcoxqmxhkaswt httptcorbitegrnhm climate
197,offensive language,mvckfadden stay beautiful you bitch
198,offensive language,"nickiminaj wutkinda

r purple ceeeleeeman this gurl was jus playin on the stupid hoe  track but in still shitted on sum gurls"
199,offensive language,nastycopper money getting taller and bitches getting blurry
200,offensive language,newsomejade i aint never seen a bitch so obsessed with they nigga128514 im obsessed with mine 128529
201,offensive language,nicholas_ted33 kobe stay talking trash but lets not forget httptcovh4tnekvtp j_austin12 i meant to do this one smh
202,hate speech,"nochillpaz at least im not a nigger httptcorgja7cfoit

lmfao"
203,offensive language,no_fakingg people always asking me what im mixed with she a bad asian bitch lol
204,hate speech,notoriousbm95 _whiteponyjr_ ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo
205,other,"osay_it_aint_so 8220ignorealllaws fosters home for imaginary trash8221 whoa chill

that show was everything tf"
206,offensive language,officialreplay i am lowkey tired if you tired be quiet and go to sleep hoe
207,offensive language,prayingforhead 8220macklemroe stop bringing weird niggers into my mentions prayingforhead8221 httptcocussdjesrk
208,offensive language,prettyboss_brat we dont love these hoes 128080128581
209,offensive language,patrickquelo if yo girl cant have homeboys you a ol weak bitch ass nigga
210,offensive language,patsfanjoe32 d_palomino52 i think worst advice i gave you was  dont be a pussy and speed up lol
211,offensive language,poemsporn quote this tweet with your favorite animalpussy
212,offensive language,poetic_success i hate when strippers tell you theyre dancers hoe ballet dancers dont pop their pussy to beethoven you a stripper
213,offensive language,"poffalicious andrewbryant poff has double vision after 2 beers
poff  double pussy 128526 smh"
214,offensive language,"poobie_ when bitches twerk on the computer

me in ya 128089 in ya damn 128089825265039"
215,offensive language,prodsjewel_ 8220sreadthepeace 8220yungmindless peacepunkprince prince this is a httptcoephrwxmbhr8221 nobody takin his bitch
216,other,quan1t0 61 of welfaregovernment aid is claimed by white people so yall black slander is trash now
217,offensive language,quan1t0 these bitches dont care they just play that role
218,offensive language,"queen_kaaat it took a while for you to find me but i was hiding in the lime tree
iemonaids dis bitch in da wrong tree bro"
219,hate speech,nba drakes new shoes that will be released by nikejordan yes theres glitter on the shoes httptcoqctplxhexm dudes a fag
220,other,rachiesoul dizzleofficial inna di ghetto you alone lmaoo
221,other,ramboutit 8220master11_ 20tolife_ ramboutit hoes austin8221 teach us austini teach u how to get curved thats all i know
222,offensive language,reachtheeclimax bitches cant cook but know how to suck dick  so to the ones that can do both
223,offensive language,renegademo fat hoes get chose lol
224,offensive language,riahsm hoesaintloyal well theyre hoesno one expects them to be loyal
225,offensive language,rishaawilliams treshon_scrooge _neverustt ol bitch ass httptcoamcoiny0wg
226,offensive language,rnadjorell bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo
227,offensive language,sactownprodigy just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you
228,offensive language,"samjlayman  holy shit freddie highmore was in charlie and the chocolate factory
me rolls on the floor laughing"
229,offensive language,samirahusic_ i dont want to have sex with my gf because i feel like im using her  anonymous whata faggot
230,offensive language,sexualgxfs  one of your followers with this 128525128553 httptcof1tjl9xnct  somebody bitch if you dont
231,offensive language,shaa_jenkins if ya bitch always bitching clearly she care or just an annoying bitch
232,offensive language,shantaughther these catfish hoes thinkin they slick but niggas catching on 128524
233,offensive language,shewenttojordan cant worry about a bitch that aint worried bout me real
234,offensive language,showarrive side hoes are for insecure niggas that cant handle a real one
235,offensive language,shun_stokes 128514128514128514128514 bluprint_4 lmao this bitch come scooting in the tent like she about to fuck some shit up 128557128557128557
236,offensive language,shun_stokes my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers 128514
237,offensive language,slimgirl_probz im hungry but ionn wanna spend my money on food128530broke hoe problems 128514128514128514128128
238,offensive language,smeegbaby dese hoes be lyin to all of us nigga
239,offensive language,snakecharmsdump httptco4b427dqzcv oh yeah fuck that bitch
240,other,sposcenter eli manning just threw his nflleading 27th interception of the season lmao trash
241,other,sposcenter usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team 187 httptcojoosdsubir hes a bitch
242,offensive language,stellatex guess what i also have zero time for your mansplaining adios stfu pussy
243,other,stephenwildboy chilling 1280698482 httptcomik3ipnle6 sexy scally lad
244,offensive language,strap__ i aint sharing no bitch if you mines you mines 128175
245,offensive language,sukmysweetness money only impress the simple broke bitches
246,offensive language,sylvieamx pisces will never be anybodys bitch they dont let people control or change them rigghhht
247,other,tee_jonez 16stanleys kingcuh tuku ho idk blah blah blah 128514128514128514
248,other,tee_jonez kingcuh 16stanleys im not mad cuh hahaha suure tuku ho ita 128514128514
249,offensive language,tayknosbest these hoes is crazy
250,offensive language,taylorr_babee you aint ever gonna be a slice bitch kevin ha 
251,offensive language,thatniggatroy oomf so fuckin fine tho 128553 dam  her dont be no bitch
252,offensive language,thegamerkingkev i wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags
253,offensive language,"thenewsat newsatquestions
yeah bitch yeah bitch call me _______
a maybe
b steveo
c later
d jesse pinkman
machinegunkelly"
254,offensive language,thenymphotweets hickies in between her thighs right by her pussy gtgtgt its only right
255,offensive language,theonemiss_luu would you still love me when im no longer young and beautiful no ugly monkey ass
256,offensive language,therealrickyb21 jetsandaswisher gook____ yall come through the frontbitch i aint coming
257,offensive language,therealrickyb21 jetsandaswisher faggot bitch httptco2hyyabk4eh
258,offensive language,the_realist_sam madrid2_ yea im on my ipad i dont work this friday lets ball this faggot up tropicalblanketi work 25
259,other,theo17100 httptcobyj1hoyhmg this scally lad would get it
260,hate speech,theomaxximus gerryshalloweenpay httptco3ycrsrnjhc halloween was yesterday stupid nigger
261,offensive language,theomaxximus chrus still supahot tho walks up to teacher with test drops test in that bitch fohead httptconb5vgdssgi
262,offensive language,thornton25 8220kantkeepahbytch i love eating pussy lol i never get full lol8221 i can eat that shit forever lol and ever
263,offensive language,tmacc_gfg 8220voiceofdstreetz tmacc_gfg 8220tizzimarie no slushes 1285498221hoes nasty anyway fam1285648221them hoes taste like meds127815127815127868
264,offensive language,tmacc_gfg 8220tizzimarie no slushes 1285498221hoes nasty anyway fam128564
265,offensive language,tmacc_gfg bobby bitchby bobbyshmurdags9 be getting me live as fuck hell yea i play that hoe before my workout
266,offensive language,trelekidd yo bitch is gucci mane  jabarithegreat  my bitch a stoner 128175128175 httptcolt9lijjpg9128514128514128514128514128514128514
267,offensive language,tweetgamelazy i can ride your bitch with no handle bars
268,offensive language,tyjoncuffee and if you aint a hoe get up out my traphoussseeeee
269,other,uberfacts 15 sad tv character deaths were still bitter over httptcoulclfuf8nc httptco1rxyqoosm0ned stark was the man
270,offensive language,unholy_jack these harbor bitches are all pay bus hoes lol all
271,offensive language,vbomb20 woodchuck20 pussy love it
272,offensive language,"veronikahumbe ultraviolence video its coming you little bitch mtvhottest lana del rey httptco533flbvwqh 

bitchy promo"
273,offensive language,"vinefohebyrd on my way to fuck your bitch httpstco4lmtfnl2iy

lmfao kittycopter"
274,other,wbur a smuggler explains how he helped fighters along the jihadi highway httptcoux4anxeawd
275,offensive language,wbeezy_ quathegreat aww their avis look so cute together 128145 httptco9lporcb8w0 128128128128128128 do i gotta get ike avi on this bitch 
276,offensive language,wbeezy_ run_drc its simple dont be a hoedont worry about being exposed 128540 fight mewhy 
277,offensive language,"wannabekanye whys this bitch boosting herself httptcouod2f5wtkv

her size isnt exactly the most healthy tho"
278,offensive language,withaprettyface _1nonlykeisha bet not be no bitches 128514128080128299128299128298 128514128514 kim bye
279,offensive language,x_xpdotjdot damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco
280,offensive language,xojennygirl im making marack my girlfriend  marackaf aye b you pullin hoes just like o taught you
281,offensive language,xoxo__angiee bruno fag boy you love me
282,offensive language,yehits_von 8220run_drc i must be a bitch8221 you are 128514128514128514 sike naw this why we always beefing 128514
283,other,yankees down 61 yankees look to rally in the bottom of the 9th rallycap
284,offensive language,youngricooo 8220wexicanafro702 dont take advantage of a nice person8221 hoes everyjuan
285,offensive language,youngricooo happy bihday bitch nigga wexicanafro702 thanks pal
286,offensive language,youngricooo sad knowing that most hoes wont fuck with you bc you aint got stacks wait till friday
287,offensive language,yungmigo shane_a1 cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca
288,offensive language,zoebaon3 h0rheyd ewww i said that last sundayas in the last sunday i was there read it again nigs128563128563128563128563128563
289,offensive language,_bada_bing i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake
290,offensive language,_beedontcare my pussy still fresh lt something stank girls say
291,offensive language,_geewillikers_ ass slapping is one the greatest things haha 128527 i slapped a girl on the ass  she got mad i aint get pussy for a week
292,offensive language,_tommycollins wearerichnow buffalobills yeah texans are so much better you fucking retard i see that youre mad about this
293,offensive language,__malibubarbie nd wtf is up with dark bitches with blonde please have several seats hoe looking like blackampmilds out here
294,offensive language,__sugga theres a lane some bitches need to stay in 128526 the left n get right the fuck outta our face 128557128129128536
295,offensive language,__sneakyb i hate when boys deny that they have bitches 128080128553 smh
296,offensive language,__taradise__ ya nigs out there still saying yall dont eat butt with a straight face
297,offensive language,__yourewelcome im a boss ass bitch that needs to sit in a corner
298,offensive language,_iwantfranny hes a hoe  i cant
299,offensive language,_prettyflvck0 me and paul thinkin bout gettin rentals for da weekend 128665128168128168oooh shit bitches betta stay out da streets
300,offensive language,_rapdreams bitches hold they nigga down when he get locked up but if a nigga go to college or the military its a different story 128564
301,offensive language,_simplycaitlin why do my friends hate me because you a ratchet hoe
302,offensive language,adriwadrri no love for these fuck niggas hoes
303,offensive language,airmaxlad1 hot meat httptcobrz8imk5vk sexy as fuck scally lad i would love to meet him and his trainers
304,offensive language,airmaxlad1 sniff httptcofhhbbrmybn perved up scally lad fuck yeah
305,offensive language,alejandra_p13 these bitches love sosa
306,offensive language,alexissixela__ 8220white_thunduh i legit watched it for about 30 or 40 seconds 1285298221so did i wtf prob cause were retarded smh
307,offensive language,allisonnamaya_ what should i name my cat ideas mr pussy
308,offensive language,altosteel115 httptcotm28mh5xg2 woof woof sexy thug boy scally
309,offensive language,ambitiousbree _1nonlykeisha u see the damn phone ringing 128547128530128542 when you married bitches makes demands you havent called me
310,offensive language,analicialouise tevin is my favorite sophomore i think hes so funny hes really not lmaoo hes a little hoe
311,offensive language,angelenagoley 10 sex positions httptcont3pabmwsm httptcojmhz8sczf0naw this what u call fucking the soul outta bitch 128557
312,hate speech,ashlingwilde itsnotadam is bored supposed to be cute you faggot sometimes
313,other,ayyee_ceee_ one mans trash 128686 is another mans treasure 127942
314,offensive language,babineaux_ i dont got no type bad bitches is the only thing i like iongotnotype
315,hate speech,bigbootybishopp white_thunduh lassen cc  the coach wants me i feel it youll get more my nig no doubt
316,offensive language,"bleedingtrap god teeth  gold chain
white bitches  cocaine"
317,offensive language,cheetahbluntz_ its me hoe its me hoe128129 shhhhh
318,offensive language,chieflottahoes in dc we call them rollers in chiraq we call them thots all across america they have been known as a hoe
319,offensive language,clayton_jenn99 im gonna miss that bitch of a bus driverno you wont dont lie
320,offensive language,coltfoy2gone hate when bitches try and put you in the friendzone bitch im tryin to score put me in the endzone 128293128293128293 on my soul
321,other,complex_uk ashley young has tried to deny that bird s landed in his mouth gt httptcomlr5ewgonk httpstcoavchfj7rem hahaha
322,offensive language,datfullerkid trevaughnlg yall both gimped up aint tht a bitch huh lol
323,other,deepthroatmike boys_south take me for a ride 128525128139 httptcoh5matjyfgaredneck woof woof
324,offensive language,demi_eggleton oh my god i love victoria mitchell all my bitches love me
325,offensive language,djsliime that long distance shit wack i knew the bitch was cheating uh oh
326,offensive language,fiiing hes doing it right 128525128120128158 httptcojzkkivuvjc no bitches smh
327,offensive language,fatboyswagg347 they ban dat pussy for life amp he gotta pay 25 millon dollar fine
328,offensive language,fuckcamoclark roses are red and violets are blue and niggers are black you know thats true dylan72892
